"Country","AverageAIPMean","HDI.categories","HDI"
"Macao",4.6,NA,NA
"Taiwan",4.6,NA,NA
"Dominican Republic",4.53333333333333,"High huaman development",0.722
"Cyprus",4.4,"Very high huaman development",0.856
"Qatar",4.06666666666667,"Very high huaman development",0.856
"Panama",4,"High huaman development",0.788
"Puerto Rico",4,NA,NA
"Iceland",3.86666666666667,"Very high huaman development",0.921
"Ecuador",3.75555555555556,"High huaman development",0.739
"Sri Lanka",3.73333333333333,"High huaman development",0.766
"Columbia",3.66666666666667,NA,NA
"Kenya",3.66666666666667,"Medium huaman development",0.555
"Turkey",3.65185185185185,"High huaman development",0.767
"Uruguay",3.6,"High huaman development",0.795
"France",3.56410256410256,"Very high huaman development",0.897
