"Country","AverageDPMean","HDI.categories","HDI"
"Brunei",5,"Very high huaman development",0.865
"Panama",5,"High huaman development",0.788
"Qatar",5,"Very high huaman development",0.856
"Taiwan",5,NA,NA
"Puerto Rico",4.86666666666667,NA,NA
"Lithuania",4.6,"Very high huaman development",0.848
"Columbia",4.4,NA,NA
"Sri Lanka",4.4,"High huaman development",0.766
"Ecuador",4.13333333333333,"High huaman development",0.739
"Bulgaria",4.1,"High huaman development",0.794
"Austria",4.06666666666667,"Very high huaman development",0.893
"Guam",4,NA,NA
"Macao",4,NA,NA
"Slovenia",4,"Very high huaman development",0.89
"Uruguay",3.93333333333333,"High huaman development",0.795
